Hallo zusammen, ; Привет всем,
habt ihr schon gehört, ; вы уже слышали,
dass unsere Firma eine neue Regelung plant? ; что наша фирма новое правило планирует?
Wer im letzten Jahr weniger als 15 Tage krank war, ; кто в прошлом году меньше чем 15 дней болен был,
soll eine Bonuszahlung oder fünf zusätzliche Urlaubstage bekommen. ; должен одну бонусную выплату или пять дополнительных отпускных дней получить.
Ehrlich gesagt gefällt mir diese Idee nicht so gut. ; честно сказано нравится мне эта идея не так хорошо.
Die Leitung will diese Entscheidung gut überlegt haben, ; руководство утверждает эту решение хорошо обдумало,
aber meiner Meinung nach kann diese Regelung trotzdem Probleme verursachen. ; но по моему мнению может это правило всё же проблемы вызывать.
Manche Mitarbeiter sind wirklich krank ; некоторые сотрудники действительно больны
und können nichts dafür. ; и могут ничего за это.
Einige kommen vielleicht krank zur Arbeit, ; некоторые приходят возможно больными на работу,
nur um den Bonus zu bekommen. ; только чтобы бонус получить.
Meiner Meinung nach sollte die Firma lieber alle Mitarbeiter motivieren ; по моему мнению должна фирма лучше всех сотрудников мотивировать
und nicht nur die gesunden belohnen. ; а не только здоровых награждать.
Was denkt ihr darüber? ; что думаете вы об этом?
Viele Grüße ; много приветов / с большим приветом
